iter	MAE
0	14782.72316
1	14672.1121
2	14563.86706
3	14435.57345
4	14310.18327
5	14186.20987
6	14092.25199
7	13981.31126
8	13890.16769
9	13797.76306
10	13705.98695
11	13626.2477
12	13528.17463
13	13457.09514
14	13362.34519
15	13270.53366
16	13198.09403
17	13119.8862
18	13031.33461
19	12967.12187
20	12888.01477
21	12813.5288
22	12737.20155
23	12663.44751
24	12603.1437
25	12546.28004
26	12486.18167
27	12426.14793
28	12377.75854
29	12322.27968
30	12270.00122
31	12218.07904
32	12145.51079
33	12098.26708
34	12038.90587
35	11995.92154
36	11947.21794
37	11915.39147
38	11875.02051
39	11832.60175
40	11795.65537
41	11761.98238
42	11719.2466
43	11683.26528
44	11648.68603
45	11616.84201
46	11580.0394
47	11545.30722
48	11511.99282
49	11481.33581
50	11445.74259
51	11417.69169
52	11379.10745
53	11349.59162
54	11317.26045
55	11286.86308
56	11263.837
57	11243.49941
58	11210.91803
59	11184.47906
60	11163.92529
61	11143.06308
62	11110.84428
63	11086.36217
64	11067.95969
65	11043.34512
66	11025.97152
67	11001.43908
68	10974.25212
69	10959.67949
70	10943.9722
71	10923.72642
72	10901.24882
73	10880.08074
74	10864.44546
75	10841.64432
76	10722.18255
77	10711.95984
78	10696.36897
79	10685.28698
80	10665.77064
81	10647.47097
82	10619.55207
83	10599.13565
84	10589.55044
85	10579.87108
86	10554.18401
87	10539.17302
88	10512.03826
89	10499.18906
90	10490.67335
91	10474.75023
92	10464.23195
93	10455.40691
94	10437.44932
95	10423.6515
96	10414.49168
97	10397.09736
98	10382.05425
99	10365.95204
100	10356.18834
101	10341.1177
102	10328.93354
103	10314.411
104	10295.02612
105	10272.67829
106	10267.91235
107	10256.32689
108	10248.86652
109	10239.61393
110	10229.40669
111	10226.66868
112	10213.61536
113	10205.76765
114	10192.67019
115	10186.28403
116	10178.23256
117	10168.57221
118	10160.43897
119	10154.29038
120	10148.35678
121	10137.1517
122	10121.25259
123	10120.87924
124	10113.82616
125	10108.87685
126	10097.5684
127	10088.793
128	10081.11161
129	10071.94466
130	10061.28729
131	10051.14023
132	10041.61194
133	10024.41659
134	10009.20665
135	9999.887471
136	9986.464635
137	9985.604323
138	9973.86736
139	9968.4433
140	9960.178118
141	9947.682626
142	9939.597175
143	9937.062521
144	9934.941082
145	9932.144054
146	9918.716089
147	9916.93287
148	9909.709255
149	9902.048962
150	9888.587
151	9881.305413
152	9878.87756
153	9870.692237
154	9866.028758
155	9864.491226
156	9851.754025
157	9844.05631
158	9834.77959
159	9827.773751
160	9818.779622
161	9810.091219
162	9805.548086
163	9800.043915
164	9794.557396
165	9788.447693
166	9783.898838
167	9776.602756
168	9773.462539
169	9769.881752
170	9764.081866
171	9759.778982
172	9752.136125
173	9747.112037
174	9742.089313
175	9738.887141
176	9731.659495
177	9727.132826
178	9725.157856
179	9716.23242
180	9714.783792
181	9711.14282
182	9705.341573
183	9702.302263
184	9698.924256
185	9696.712643
186	9691.744103
187	9688.805512
188	9686.277885
189	9683.552474
190	9681.192985
191	9678.703717
192	9675.768063
193	9668.352034
194	9661.460549
195	9656.33569
196	9651.706162
197	9648.306526
198	9637.382157
199	9631.41702
200	9620.532939
201	9618.606804
202	9607.726847
203	9606.072285
204	9602.799279
205	9596.571886
206	9594.944856
207	9592.995787
208	9587.783512
209	9585.148764
210	9581.370937
211	9574.154341
212	9563.726406
213	9561.902952
214	9554.6641
215	9550.29787
216	9547.222583
217	9545.046561
218	9542.368032
219	9537.486044
220	9525.240188
221	9522.674986
222	9520.293647
223	9518.361773
224	9514.561333
225	9512.917131
226	9511.453151
227	9508.851437
228	9503.184969
229	9496.114052
230	9494.838552
231	9491.232399
232	9488.517369
233	9484.826117
234	9474.214794
235	9471.235012
236	9465.388014
237	9463.303398
238	9453.854775
239	9449.548161
240	9439.839215
241	9437.261103
242	9435.068636
243	9426.192536
244	9416.111411
245	9410.944875
246	9404.949786
247	9399.893591
248	9394.384234
249	9390.012121
250	9386.861646
251	9380.77531
252	9370.297586
253	9369.22033
254	9366.498386
255	9357.744465
256	9354.894842
257	9351.393575
258	9349.057276
259	9347.125953
260	9343.875428
261	9337.512586
262	9330.880252
263	9326.839226
264	9321.517756
265	9318.820842
266	9315.853364
267	9305.871962
268	9302.881139
269	9299.02259
270	9297.56761
271	9293.061855
272	9291.091494
273	9285.817669
274	9280.029555
275	9276.928963
276	9269.123927
277	9267.683211
278	9266.945067
279	9258.579591
280	9253.067554
281	9242.09899
282	9236.734903
283	9234.641776
284	9229.556118
285	9227.392216
286	9218.792503
287	9215.386113
288	9212.376115
289	9209.417821
290	9203.597974
291	9195.574572
292	9190.205629
293	9183.800944
294	9181.590317
295	9174.626639
296	9171.396294
297	9160.656192
298	9158.505404
299	9153.601107
300	9151.203109
301	9145.346982
302	9139.873147
303	9135.904398
304	9126.256965
305	9122.89408
306	9122.019939
307	9118.055258
308	9113.784702
309	9111.970106
310	9109.099542
311	9106.316714
312	9103.394958
313	9101.694223
314	9092.529828
315	9090.445706
316	9087.442306
317	9083.112804
318	9080.311314
319	9079.363126
320	9073.621965
321	9071.044973
322	9055.71996
323	9045.638444
324	9041.426478
325	9036.019381
326	9028.865661
327	9025.396902
328	9013.334119
329	9008.483257
330	9005.999978
331	9004.652063
332	9002.479526
333	8999.520394
334	8992.156265
335	8980.409664
336	8975.419995
337	8970.42672
338	8968.809861
339	8967.184373
340	8961.572777
341	8956.170884
342	8954.124224
343	8949.088395
344	8946.496454
345	8944.130698
346	8938.547057
347	8935.603121
348	8934.367812
349	8929.263532
350	8927.227617
351	8922.328598
352	8916.499275
353	8913.85974
354	8909.223328
355	8908.002731
356	8902.088304
357	8901.074396
358	8895.181752
359	8891.805579
360	8889.044531
361	8887.721949
362	8886.666214
363	8885.159988
364	8881.739696
365	8878.446098
366	8876.670361
367	8873.613987
368	8870.334412
369	8868.412253
370	8862.621529
371	8861.087017
372	8859.624548
373	8858.488866
374	8854.896912
375	8850.739607
376	8848.777055
377	8847.434698
378	8845.22976
379	8842.414895
380	8839.408809
381	8838.196391
382	8835.48006
383	8833.431737
384	8830.94854
385	8827.100099
386	8825.628122
387	8824.230383
388	8821.128668
389	8816.577869
390	8814.409799
391	8812.774871
392	8811.613951
393	8808.527664
394	8803.891478
395	8802.774966
396	8796.124584
397	8792.624369
398	8788.649437
399	8786.953724
400	8784.685515
401	8783.173842
402	8781.481546
403	8778.09502
404	8776.832786
405	8770.546098
406	8769.823555
407	8767.560683
408	8765.967823
409	8764.898851
410	8762.073364
411	8759.499817
412	8756.441053
413	8750.51735
414	8745.70432
415	8743.835716
416	8740.163934
417	8736.189604
418	8733.696602
419	8732.105964
420	8730.529895
421	8729.749129
422	8728.516286
423	8727.983576
424	8721.845464
425	8716.218016
426	8713.008124
427	8707.039874
428	8702.414133
429	8700.580578
430	8697.94489
431	8695.312613
432	8693.789761
433	8692.550333
434	8690.744304
435	8688.741872
436	8687.165376
437	8684.555422
438	8681.992934
439	8681.068783
440	8679.763374
441	8677.80346
442	8674.480454
443	8672.420162
444	8670.052629
445	8661.866332
446	8660.393519
447	8653.652346
448	8648.479499
449	8643.218515
450	8641.686045
451	8640.016167
452	8636.063003
453	8634.916288
454	8633.981052
455	8631.545559
456	8629.163939
457	8624.973927
458	8620.601672
459	8616.882544
460	8615.407627
461	8613.250229
462	8606.077896
463	8603.728874
464	8601.705544
465	8597.615687
466	8593.531971
467	8590.976814
468	8590.439953
469	8584.435173
470	8583.682249
471	8582.217836
472	8579.464233
473	8578.775757
474	8576.981766
475	8576.48721
476	8574.431796
477	8573.370111
478	8571.402084
479	8569.153872
480	8566.040886
481	8561.087518
482	8553.872124
483	8552.297044
484	8550.59671
485	8549.86464
486	8547.535074
487	8544.599323
488	8543.118741
489	8541.497511
490	8540.610846
491	8539.424415
492	8536.236332
493	8534.887095
494	8532.898103
495	8531.170494
496	8528.960045
497	8524.949656
498	8523.13905
499	8522.136415
500	8521.127159
501	8520.260433
502	8515.266352
503	8513.740893
504	8510.558843
505	8507.108102
506	8502.083228
507	8499.77677
508	8498.906601
509	8494.977311
510	8492.134267
511	8490.857832
512	8488.528861
513	8487.163222
514	8486.578108
515	8484.654994
516	8482.553944
517	8475.792193
518	8475.019247
519	8473.258288
520	8470.866109
521	8470.012031
522	8370.027001
523	8365.264559
524	8361.7405
525	8360.958074
526	8358.232252
527	8356.907007
528	8355.089136
529	8351.092425
530	8349.513735
531	8349.173391
532	8346.07871
533	8344.976755
534	8343.535458
535	8342.599242
536	8339.105391
537	8338.27502
538	8336.903044
539	8336.651422
540	8334.040403
541	8328.886595
542	8325.300288
543	8323.601009
544	8320.87748
545	8319.317009
546	8318.042033
547	8317.532427
548	8310.309032
549	8307.245997
550	8306.648837
551	8305.049412
552	8304.152138
553	8303.542502
554	8302.890552
555	8302.22002
556	8301.668337
557	8300.751125
558	8300.319517
559	8203.406328
560	8200.56198
561	8199.595594
562	8198.296206
563	8102.47623
564	8100.078892
565	8099.326506
566	8098.470069
567	8096.284777
568	8095.123447
569	8094.433677
570	8093.564155
571	8090.634257
572	8089.459628
573	8088.904176
574	8087.203051
575	8086.367161
576	8085.374737
577	8084.302889
578	8081.41638
579	8080.275552
580	8078.505212
581	8076.204231
582	8075.83182
583	8074.48084
584	8073.986307
585	8073.383758
586	8072.271868
587	8071.118001
588	8063.438459
589	8061.926586
590	8059.466966
591	8058.862511
592	8057.548177
593	7966.154743
594	7965.419378
595	7964.67877
596	7963.324817
597	7962.36014
598	7961.491488
599	7959.618118
600	7958.269656
601	7957.25531
602	7956.528923
603	7955.635693
604	7954.286738
605	7950.507585
606	7948.810686
607	7947.770453
608	7944.727474
609	7942.584418
610	7938.182705
611	7936.520862
612	7934.910121
613	7934.352707
614	7932.24567
615	7931.873234
616	7929.860071
617	7926.244416
618	7924.715088
619	7921.221238
620	7919.549085
621	7913.260879
622	7912.114444
623	7910.87682
624	7907.903791
625	7905.544292
626	7903.884741
627	7902.408826
628	7900.372086
629	7899.054141
630	7897.810167
631	7895.981395
632	7894.014501
633	7893.543729
634	7892.817142
635	7891.325477
636	7890.706335
637	7889.750337
638	7887.213734
639	7886.413794
640	7885.883947
641	7884.468515
642	7883.398654
643	7882.445663
644	7880.241819
645	7878.321071
646	7877.69172
647	7877.14531
648	7876.836108
649	7876.491034
650	7874.989403
651	7874.618024
652	7873.995537
653	7871.870003
654	7871.231396
655	7869.570087
656	7868.743301
657	7868.249355
658	7867.18567
659	7864.288994
660	7863.086185
661	7862.536583
662	7860.232765
663	7857.461869
664	7857.102607
665	7856.983003
666	7855.937756
667	7854.385776
668	7851.836424
669	7849.632381
670	7848.999178
671	7848.379549
672	7847.32048
673	7846.257639
674	7846.072311
675	7843.560171
676	7841.95574
677	7840.045914
678	7839.586994
679	7838.672434
680	7837.300965
681	7836.940822
682	7835.292791
683	7834.187296
684	7832.928091
685	7831.331525
686	7831.147515
687	7829.572703
688	7828.669407
689	7827.612559
690	7827.383845
691	7823.047479
692	7822.123315
693	7821.166563
694	7821.062582
695	7820.11236
696	7817.709011
697	7817.444864
698	7728.64827
699	7728.027419
700	7726.822795
701	7725.42123
702	7721.878139
703	7720.930908
704	7720.267319
705	7718.862142
706	7718.489843
707	7717.824259
708	7717.180878
709	7714.888942
710	7713.462407
711	7712.740828
712	7711.926
713	7709.952274
714	7708.562975
715	7708.286357
716	7707.058798
717	7706.605478
718	7706.116525
719	7705.970898
720	7704.387392
721	7704.115631
722	7702.707027
723	7700.222735
724	7699.746997
725	7698.854961
726	7695.17644
727	7692.537995
728	7692.061025
729	7691.328971
730	7690.400816
731	7688.211348
732	7687.386439
733	7686.798624
734	7686.129221
735	7684.644511
736	7683.387795
737	7682.220413
738	7681.849813
739	7680.959386
740	7680.157346
741	7678.083224
742	7677.290236
743	7676.850946
744	7676.517449
745	7589.894062
746	7588.738703
747	7586.56392
748	7586.06682
749	7585.35028
750	7585.092519
751	7584.009597
752	7583.762129
753	7583.527497
754	7582.731866
755	7582.301201
756	7581.142972
757	7580.873998
758	7580.035253
759	7578.440755
760	7577.900612
761	7577.00696
762	7574.541869
763	7573.932722
764	7573.37316
765	7571.006762
766	7570.459692
767	7567.967169
768	7567.390851
769	7566.867743
770	7566.104826
771	7564.366642
772	7564.223047
773	7562.874425
774	7560.372332
775	7559.259309
776	7556.219926
777	7556.100691
778	7555.331267
779	7553.628317
780	7551.955257
781	7550.043139
782	7549.665747
783	7548.579138
784	7547.623942
785	7545.507381
786	7544.882143
787	7544.009483
788	7541.542214
789	7541.051003
790	7538.081961
791	7454.742602
792	7453.929248
793	7451.860447
794	7451.278833
795	7448.06586
796	7447.344483
797	7446.750632
798	7445.610856
