iter	Passed	Remaining
0	12	28545
1	29	32901
2	44	32461
3	55	30374
4	68	29922
5	80	29535
6	94	29508
7	106	29283
8	123	30092
9	139	30452
10	151	30134
11	160	29347
12	174	29312
13	187	29329
14	203	29657
15	217	29684
16	231	29735
17	245	29714
18	263	30270
19	278	30388
20	296	30816
21	314	31167
22	328	31059
23	343	31165
24	367	31973
25	379	31714
26	392	31566
27	405	31464
28	422	31613
29	437	31626
30	453	31752
31	471	31948
32	491	32292
33	504	32132
34	518	32083
35	531	31929
36	545	31884
37	560	31890
38	577	32000
39	595	32172
40	609	32119
41	621	31931
42	633	31794
43	646	31687
44	658	31548
45	675	31651
46	689	31605
47	705	31637
48	719	31603
49	735	31622
50	749	31564
51	761	31464
52	774	31380
53	788	31335
54	800	31200
55	813	31146
56	829	31194
57	844	31171
58	858	31164
59	874	31185
60	889	31173
61	903	31163
62	919	31196
63	932	31125
64	943	30997
65	958	30997
66	972	30945
67	984	30881
68	996	30773
69	1011	30790
70	1027	30811
71	1041	30777
72	1055	30761
73	1070	30760
74	1084	30727
75	1096	30647
76	1109	30602
77	1121	30516
78	1136	30510
79	1154	30604
80	1165	30500
81	1182	30540
82	1195	30495
83	1208	30439
84	1223	30435
85	1238	30453
86	1256	30510
87	1270	30499
88	1290	30617
89	1307	30653
90	1324	30688
91	1339	30681
92	1351	30622
93	1367	30637
94	1378	30539
95	1392	30510
96	1410	30584
97	1427	30629
98	1440	30575
99	1454	30550
100	1468	30509
101	1480	30443
102	1494	30435
103	1511	30458
104	1526	30462
105	1538	30384
106	1553	30386
107	1568	30387
108	1582	30354
109	1594	30297
110	1606	30234
111	1621	30237
112	1634	30187
113	1649	30187
114	1662	30139
115	1677	30129
116	1690	30090
117	1703	30055
118	1716	30020
119	1741	30190
120	1790	30766
121	1813	30888
122	1831	30922
123	1836	30740
124	1850	30710
125	1870	30784
126	1884	30753
127	1901	30783
128	1917	30787
129	1932	30764
130	1947	30756
131	1964	30778
132	1979	30764
133	1998	30814
134	2016	30840
135	2032	30843
136	2049	30855
137	2053	30687
138	2065	30621
139	2081	30621
140	2097	30630
141	2112	30610
142	2124	30562
143	2140	30563
144	2152	30509
145	2167	30496
146	2182	30481
147	2186	30311
148	2200	30287
149	2215	30283
150	2230	30268
151	2244	30245
152	2257	30200
