ID,predicted_class
1.jpg,ice_cream
2.jpg,phoebetria-fusca
3.jpg,french_fries
4.jpg,bruschetta
5.jpg,cellphone
6.jpg,lobster_bisque
7.jpg,macropus-giganteus
8.jpg,Elefante
9.jpg,pizza
10.jpg,airplanes
11.jpg,wrench
12.jpg,thryothorus-ludovicianus
13.jpg,panthera-onca
14.jpg,ketch
15.jpg,mellisuga-helenae
16.jpg,eggs_benedict
17.jpg,french_onion_soup
18.jpg,spheniscus-demersus
19.jpg,malayopython-reticulatus
20.jpg,ursus-arctos-horribilis
21.jpg,eggs_benedict
22.jpg,lobster_bisque
23.jpg,centruroides-vittatus
24.jpg,formicidae
25.jpg,rattus-rattus
26.jpg,french_toast
27.jpg,snoopy
28.jpg,physeter-macrocephalus
29.jpg,spaghetti_carbonara
30.jpg,flamenco
31.jpg,carcharodon-carcharias
32.jpg,bruschetta
33.jpg,varanus-komodoensis
34.jpg,canis-lupus
35.jpg,sushi
36.jpg,mimus-polyglottos
37.jpg,hamburger
38.jpg,cheese_plate
39.jpg,french_toast
40.jpg,aethia-cristatella
41.jpg,lobster
42.jpg,struthio-camelus
43.jpg,steak
44.jpg,okapi
45.jpg,takoyaki
46.jpg,gyoza
47.jpg,helicopter
48.jpg,rhino
49.jpg,panna_cotta
50.jpg,pavo-cristatus
51.jpg,camera
52.jpg,desmodus-rotundus
53.jpg,tursiops-truncatus
54.jpg,eggs_benedict
55.jpg,chocolate_cake
56.jpg,dumplings
57.jpg,panthera-onca
58.jpg,lampropeltis-triangulum
59.jpg,heloderma-suspectum
60.jpg,ibis
61.jpg,smilodon-populator
62.jpg,ailurus-fulgens
63.jpg,pterois-mombasae
64.jpg,cyanocitta-cristata
65.jpg,lamp
66.jpg,mayfly
67.jpg,tacos
68.jpg,loxodonta-africana
69.jpg,club_sandwich
70.jpg,car_side
71.jpg,tiramisu
72.jpg,hamburger
73.jpg,connochaetes-gnou
74.jpg,lotus
75.jpg,cup
76.jpg,macarons
77.jpg,cougar
78.jpg,mayfly
79.jpg,french_onion_soup
80.jpg,oysters
81.jpg,windsor_chair
82.jpg,ceratitis-capitata
83.jpg,grand_piano
84.jpg,crab_cakes
85.jpg,ailuropoda-melanoleuca
86.jpg,formicidae
87.jpg,peking_duck
88.jpg,phoebetria-fusca
89.jpg,pagoda
90.jpg,gerenuk
91.jpg,telmatobufo-bullocki
92.jpg,geococcyx-californianus
93.jpg,danaus-plexippus
94.jpg,pongo-abelii
95.jpg,vultur-gryphus
96.jpg,grilled_salmon
97.jpg,bruschetta
98.jpg,platypus
99.jpg,crocodylus-niloticus
100.jpg,lobster_roll_sandwich
101.jpg,hippopotamus-amphibius
102.jpg,barrel
103.jpg,dasypus-novemcinctus
104.jpg,pyramid
105.jpg,canis-lupus
106.jpg,bruschetta
107.jpg,flamenco
108.jpg,haliaeetus-leucocephalus
109.jpg,agalychnis-callidryas
110.jpg,mimus-polyglottos
111.jpg,lobster_bisque
112.jpg,bradypus-variegatus
113.jpg,centruroides-vittatus
114.jpg,ceratitis-capitata
115.jpg,kangaroo
116.jpg,ceiling_fan
117.jpg,homo-sapiens
118.jpg,club_sandwich
119.jpg,wheelchair
120.jpg,cryptoprocta-ferox
121.jpg,huevos_rancheros
122.jpg,dugong-dugon
123.jpg,ovis-aries
124.jpg,chicken_wings
125.jpg,sunflower
126.jpg,buddha
127.jpg,ursus-maritimus
128.jpg,gerenuk
129.jpg,tick
130.jpg,pulled_pork_sandwich
131.jpg,tyrannosaurus-rex
132.jpg,dasypus-novemcinctus
133.jpg,carrot_cake
134.jpg,cardinalis-cardinalis
135.jpg,french_onion_soup
136.jpg,anchor
137.jpg,revolver
138.jpg,hawksbill
139.jpg,electric_guitar
140.jpg,garfield
141.jpg,centrochelys-sulcata
142.jpg,connochaetes-gnou
143.jpg,ceratotherium-simum
144.jpg,aethia-cristatella
